	title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S108_pool2	BPAF_0.001_492	0.001	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S108_pool2	MCF-7	BPAF_0.001	1478-61-1	BPAF	0.001	S108_pool2	1.00480689959897
S116_pool2	BPAF_0.01_500	0.01	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S116_pool2	MCF-7	BPAF_0.01	1478-61-1	BPAF	0.01	S116_pool2	1.01971709668224
S124_pool2	BPAF_0.1_508	0.1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S124_pool2	MCF-7	BPAF_0.1	1478-61-1	BPAF	0.1	S124_pool2	1.02309961681036
S148_pool2	BPAF_5_532	5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S148_pool2	MCF-7	BPAF_5	1478-61-1	BPAF	5	S148_pool2	1.002392530524
S156_pool2	BPAF_10_540	10	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S156_pool2	MCF-7	BPAF_10	1478-61-1	BPAF	10	S156_pool2	0.992149862146577
S182_pool2	Cells, no treatment_0_566	0	N/A	S182_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S182_pool2	0.970354312870765
S183_pool2	Cells, no treatment_0_567	0	N/A	S183_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S183_pool2	0.980136241059371
S184_pool2	Cells, no treatment_0_568	0	N/A	S184_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S184_pool2	0.995623971946408
S279_pool2	Cells, no treatment_0_663	0	N/A	S279_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S279_pool2	0.973073246822429
S280_pool2	Cells, no treatment_0_664	0	N/A	S280_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S280_pool2	0.992562818594675
