	title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S87_pool2	Cells, no treatment_0_471	0	N/A	S87_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S87_pool2	1.01725229349607
S88_pool2	Cells, no treatment_0_472	0	N/A	S88_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S88_pool2	1.04387857973568
S101_pool2	BTUM_0.0005_485	0.0005	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S101_pool2	MCF-7	BTUM_0.0005	151882-81-4	BTUM	0.0005	S101_pool2	0.995800566934107
S109_pool2	BTUM_0.001_493	0.001	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S109_pool2	MCF-7	BTUM_0.001	151882-81-4	BTUM	0.001	S109_pool2	1.01934684636745
S117_pool2	BTUM_0.01_501	0.01	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S117_pool2	MCF-7	BTUM_0.01	151882-81-4	BTUM	0.01	S117_pool2	1.0186897141124
S125_pool2	BTUM_0.1_509	0.1	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S125_pool2	MCF-7	BTUM_0.1	151882-81-4	BTUM	0.1	S125_pool2	1.01808574119089
S133_pool2	BTUM_0.5_517	0.5	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S133_pool2	MCF-7	BTUM_0.5	151882-81-4	BTUM	0.5	S133_pool2	0.989216968459315
S141_pool2	BTUM_1_525	1	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S141_pool2	MCF-7	BTUM_1	151882-81-4	BTUM	1	S141_pool2	1.0165121951099
S149_pool2	BTUM_5_533	5	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S149_pool2	MCF-7	BTUM_5	151882-81-4	BTUM	5	S149_pool2	0.996002355112514
S157_pool2	BTUM_10_541	10	1-(4-methylphenyl)sulfonyl-3-[4-[[4-[(4-methylphenyl)sulfonylcarbamoylamino]phenyl]methyl]phenyl]urea	S157_pool2	MCF-7	BTUM_10	151882-81-4	BTUM	10	S157_pool2	1.013103989534
