title	dose.ch1	iupac.name.ch1	description	cell.line.ch1	treatment.ch1	cas.rn.ch1	Chemical	Dose	sample	size_factors
S124_pool2	BPAF_0.1_508	0.1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S124_pool2	MCF-7	BPAF_0.1	1478-61-1	BPAF	0.1	S124_pool2	1.02470703322405
S148_pool2	BPAF_5_532	5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S148_pool2	MCF-7	BPAF_5	1478-61-1	BPAF	5	S148_pool2	1.00396741353641
S182_pool2	Cells, no treatment_0_566	0	N/A	S182_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S182_pool2	0.971878859868896
S183_pool2	Cells, no treatment_0_567	0	N/A	S183_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S183_pool2	0.981676156680136
S184_pool2	Cells, no treatment_0_568	0	N/A	S184_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S184_pool2	0.997188220713651
S279_pool2	Cells, no treatment_0_663	0	N/A	S279_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S279_pool2	0.974602065603082
S280_pool2	Cells, no treatment_0_664	0	N/A	S280_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S280_pool2	0.994122257910267
S292_pool2	BPAF_0.0005_676	0.0005	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S292_pool2	MCF-7	BPAF_0.0005	1478-61-1	BPAF	5e-04	S292_pool2	0.996988730723419
S300_pool2	BPAF_0.001_684	0.001	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S300_pool2	MCF-7	BPAF_0.001	1478-61-1	BPAF	0.001	S300_pool2	0.991268334116092
S308_pool2	BPAF_0.01_692	0.01	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S308_pool2	MCF-7	BPAF_0.01	1478-61-1	BPAF	0.01	S308_pool2	0.986740085987218
S316_pool2	BPAF_0.1_700	0.1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S316_pool2	MCF-7	BPAF_0.1	1478-61-1	BPAF	0.1	S316_pool2	0.964981720985853
S324_pool2	BPAF_0.5_708	0.5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S324_pool2	MCF-7	BPAF_0.5	1478-61-1	BPAF	0.5	S324_pool2	1.01905190297446
S332_pool2	BPAF_1_716	1	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S332_pool2	MCF-7	BPAF_1	1478-61-1	BPAF	1	S332_pool2	0.97186081337958
S340_pool2	BPAF_5_724	5	4-[1,1,1,3,3,3-hexafluoro-2-(4-hydroxyphenyl)propan-2-yl]phenol	S340_pool2	MCF-7	BPAF_5	1478-61-1	BPAF	5	S340_pool2	0.975844672057909
S374_pool2	Cells, no treatment_0_758	0	N/A	S374_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S374_pool2	0.968097049265282
S375_pool2	Cells, no treatment_0_759	0	N/A	S375_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S375_pool2	0.957656733438949
S376_pool2	Cells, no treatment_0_760	0	N/A	S376_pool2	MCF-7	Cells, no treatment_0	N/A	Cells, no treatment	0	S376_pool2	0.990179461802918
